Tattag;Tatzeit/Uhrzeit;Tatort 2;Tbnr1; Geldbuße 
02.01.2014;1036;Landwehrstraße / C1 in Höhe von Haus-Nr. 99;113240; 10,00 € 
02.01.2014;1041;Baustraße in Höhe von Haus-Nr. 18;113240; 10,00 € 
02.01.2014;1044;Baustraße in Höhe von Haus-Nr. 13;113240; 10,00 € 
02.01.2014;1051;Cloudtstraße in Höhe von Haus-Nr. 21;113240; 10,00 € 
02.01.2014;1054;Cloudtstraße in Höhe von Haus-Nr. 21;113240; 10,00 € 
02.01.2014;1056;Landwehrstraße / C1 ggü. Haus-Nr. 89;113240; 10,00 € 
02.01.2014;1059;Landwehrstraße / C1 ggü. Haus-Nr. 89;113240; 10,00 € 
02.01.2014;1104;Landwehrstraße / C1 in Höhe von Haus-Nr. 48;113240; 10,00 € 
02.01.2014;1107;Landwehrstraße / C1 in Höhe von Haus-Nr. 44;113240; 10,00 € 
02.01.2014;1117;Landwehrstraße / C1 in Höhe von Haus-Nr. 42;113240; 10,00 € 
02.01.2014;1122;Seminarstraße in Höhe von Haus-Nr. 14;113240; 10,00 € 
02.01.2014;1420;Neumarkt / A, Parkplatz;113122; 20,00 € 
02.01.2014;1422;Neumarkt / A, Parkplatz;113140; 10,00 € 
02.01.2014;1427;Neumarkt / A, Parkplatz;113140; 10,00 € 
02.01.2014;1429;Neumarkt / A, Parkplatz;113122; 20,00 € 
02.01.2014;1435;Haagstraße / B ggü. Haus-Nr. 26;142278; 35,00 € 
02.01.2014;1440;Haagstraße / B in Höhe von Haus-Nr. 18;141322; 15,00 € 
02.01.2014;1443;Haagstraße / B in Höhe von Haus-Nr. 1;112402; 20,00 € 
02.01.2014;1506;Kautzstraße / B in Höhe von Haus-Nr. 10;141118; 15,00 € 
02.01.2014;1510;Hopfenstraße 10;141118; 15,00 € 
02.01.2014;1537;Hopfenstraße 24;141118; 15,00 € 
02.01.2014;1519;Tersteegenstraße / C1 19;141118; 15,00 € 
02.01.2014;1526;Mercatorstraße 7;141118; 15,00 € 
02.01.2014;1538;Hopfenstraße 18;329113; 15,00 € 
02.01.2014;1548;Hopfenstraße 8;141312; 15,00 € 
02.01.2014;1551;Kautzstraße / B, Parkplatz;113120; 10,00 € 
02.01.2014;1554;Kautzstraße / B, Parkplatz;113140; 10,00 € 
02.01.2014;1556;Kautzstraße / B, Parkplatz;113122; 20,00 € 
02.01.2014;1608;Hanns-Albeck-Platz, Parkplatz;142262; 10,00 € 
02.01.2014;1614;Haagstraße / B 3;113121; 15,00 € 
02.01.2014;1618;Hanckwitzstraße / B, Parkplatz;113121; 15,00 € 
02.01.2014;1620;Hanckwitzstraße / B, Parkplatz;113180; 10,00 € 
02.01.2014;1632;Haagstraße / B ggü. Haus-Nr. 26;113281; 15,00 € 
02.01.2014;1425;Neumarkt / A, Parkplatz;113122; 20,00 € 
02.01.2014;1418;Meerstraße / B 2;113140; 10,00 € 
02.01.2014;1422;Meerstraße / B, Innenhof;113140; 10,00 € 
02.01.2014;1424;Meerstraße / B, Innenhof;113140; 10,00 € 
02.01.2014;1427;Meerstraße / B, Innenhof;113140; 10,00 € 
02.01.2014;1429;Meerstraße / B, Innenhof;113122; 20,00 € 
02.01.2014;1558;Kautzstraße / B, Parkplatz;113142; 20,00 € 
02.01.2014;1647;Schwarzer Weg in Höhe von Haus-Nr. 68;142103; 10,00 € 
02.01.2014;1105;Landwehrstraße / C1 in Höhe von Haus-Nr. 46;113240; 10,00 € 
02.01.2014;959;Baerler Straße in Höhe von Haus-Nr. 54;113240; 10,00 € 
02.01.2014;1408;Meerstraße / B ggü. Haus-Nr. 5;113122; 20,00 € 
02.01.2014;1404;Feldstraße / C1 in Höhe von Haus-Nr. 23a;141118; 15,00 € 
02.01.2014;1407;Feldstraße / C1 in Höhe von Haus-Nr. 13;141118; 15,00 € 
02.01.2014;1410;Feldstraße / C1 ggü. Haus-Nr. 4;113140; 10,00 € 
02.01.2014;1416;Otto-Hue-Straße / C1, Pakplatz;113140; 10,00 € 
02.01.2014;1418;Otto-Hue-Straße / C1, Pakplatz;113140; 10,00 € 
02.01.2014;1420;Otto-Hue-Straße / C1, Pakplatz;113140; 10,00 € 
02.01.2014;1422;Otto-Hue-Straße / C1, Pakplatz;113120; 10,00 € 
02.01.2014;1425;Otto-Hue-Straße / C1, Pakplatz;113120; 10,00 € 
02.01.2014;1430;Essenberger Straße / C1, Parkplatz;113120; 10,00 € 
02.01.2014;1436;Homberger Straße / C1 in Höhe von Haus-Nr. 72b;113140; 10,00 € 
02.01.2014;1440;Homberger Straße / C1 ggü. Haus-Nr. 81;113150; 10,00 € 
02.01.2014;1444;Homberger Straße / C1 ggü. Haus-Nr. 78;142278; 35,00 € 
02.01.2014;1448;Homberger Straße / C1 ggü. Haus-Nr. 78;142278; 35,00 € 
02.01.2014;1535;Weygoldstraße / C1 ggü. Haus-Nr. 20;113140; 10,00 € 
02.01.2014;1540;Ostring / C2 ggü. Haus-Nr. 17;113122; 20,00 € 
02.01.2014;1545;Ostring / C2 ggü. Haus-Nr. 6;113180; 10,00 € 
02.01.2014;1550;Ostring / C2 ggü. Haus-Nr. 6;113180; 10,00 € 
02.01.2014;1553;Ostring / C2 ggü. Haus-Nr. 7;113140; 10,00 € 
02.01.2014;1616;Ostring / C2 ggü. Haus-Nr. 12;141412; 10,00 € 
02.01.2014;1715;Florastraße ggü. Haus-Nr. 88;142103; 10,00 € 
02.01.2014;1718;Florastraße ggü. Haus-Nr. 88;142103; 10,00 € 
02.01.2014;1720;Florastraße ggü. Haus-Nr. 88;142103; 10,00 € 
02.01.2014;1923;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141314; 25,00 € 
02.01.2014;1759;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
02.01.2014;1801;Pferdsweide ggü. Haus-Nr. 30;141312; 15,00 € 
02.01.2014;1803;Pferdsweide ggü. Haus-Nr. 30;141312; 15,00 € 
02.01.2014;1805;Pferdsweide ggü. Haus-Nr. 30;141312; 15,00 € 
02.01.2014;1807;Pferdsweide ggü. Haus-Nr. 30;141312; 15,00 € 
02.01.2014;1818;Friedenstraße ggü. Haus-Nr. 39, Wendehammer;141312; 15,00 € 
02.01.2014;1829;Lintforter Straße 90;112042; 15,00 € 
02.01.2014;1834;Windmühlenstraße ggü. Haus-Nr. 87a;141112; 20,00 € 
02.01.2014;1911;Tilsiter Straße 21, Wendehammer;141312; 15,00 € 
02.01.2014;1912;Tilsiter Straße neben Haus-Nr. 13, Wendehammer;141312; 15,00 € 
02.01.2014;1920;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
02.01.2014;1921;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
02.01.2014;1924;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
02.01.2014;1927;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
02.01.2014;1928;Pferdsweide 51, Zeichen 1052-37;141312; 15,00 € 
02.01.2014;1930;Pferdsweide 51, Zeichen 1052-37;141312; 15,00 € 
03.01.2014;1005;Augustastraße / C1 in Höhe von Haus-Nr. 2;113140; 10,00 € 
03.01.2014;1010;Essenberger Straße / C1, Parkplatz;113140; 10,00 € 
03.01.2014;1017;Homberger Straße / C1 in Höhe von Haus-Nr. 78;113140; 10,00 € 
03.01.2014;1029;Tersteegenstraße / C1 in Höhe von Haus-Nr. 1;141118; 15,00 € 
03.01.2014;1058;Unterwallstraße in Höhe von Haus-Nr. 9;142262; 10,00 € 
03.01.2014;1210;Meerstraße / B, Parkplatz;141322; 15,01 € 
03.01.2014;1217;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1222;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1224;Meerstraße / B, Schotterplatz;113120; 10,00 € 
03.01.2014;1505;Meerstraße / B in Höhe von Haus-Nr. 2;113143; 25,00 € 
03.01.2014;1233;Meerstraße / B ggü. Haus-Nr. 3;113121; 15,00 € 
03.01.2014;1236;Meerstraße / B, Gegenüber Markt;112402; 20,00 € 
03.01.2014;1244;Unterwallstraße ggü. Haus-Nr. 9;141100; 20,00 € 
03.01.2014;1002;Augustastraße / C1 ggü. Haus-Nr. 13;113140; 10,00 € 
03.01.2014;1446;Meerstraße / B, Schotterplatz;113143; 25,00 € 
03.01.2014;1802;Buchenweg ggü. Haus-Nr. 44, Laterne Garten;142103; 10,00 € 
03.01.2014;1237;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
03.01.2014;1243;Mühlenstraße / DE, Parkplatz;113150; 10,00 € 
03.01.2014;1247;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
03.01.2014;1300;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1302;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1303;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1305;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1013;Diergardtstraße in Höhe von Haus-Nr. 6;141412; 10,00 € 
03.01.2014;1029;Tersteegenstraße / C1 in Höhe von Haus-Nr. 8-10;141118; 15,00 € 
03.01.2014;1031;Tersteegenstraße / C1 in Höhe von Haus-Nr. 8-10;141118; 15,00 € 
03.01.2014;1033;Tersteegenstraße / C1 ggü. Haus-Nr. 1;141118; 15,00 € 
03.01.2014;1044;Oberwallstraße / B, Ecke Steinstrasse;141106; 30,00 € 
03.01.2014;1047;Haagstraße / B in Höhe von Haus-Nr. 18;141322; 20,00 € 
03.01.2014;1053;Meerstraße / B ggü. Haus-Nr. 3;142278; 35,00 € 
03.01.2014;1100;Unterwallstraße in Höhe von Haus-Nr. 9;113280; 10,00 € 
03.01.2014;1218;Nordring / C2 in Höhe von Haus-Nr. 7;141166; 20,00 € 
03.01.2014;1221;Nordring / C2 in Höhe von Haus-Nr. 5;141166; 20,00 € 
03.01.2014;1223;Nordring / C2 in Höhe von Haus-Nr. 2;141166; 20,00 € 
03.01.2014;1225;Nordring / C2 in Höhe von Haus-Nr. 2;141166; 20,00 € 
03.01.2014;1230;Nordring / C2 in Höhe von Haus-Nr. 1;141412; 10,00 € 
03.01.2014;1246;Hubertusstraße in Höhe von Haus-Nr. 24;141166; 20,00 € 
03.01.2014;1248;Hubertusstraße in Höhe von Haus-Nr. 24;141166; 20,00 € 
03.01.2014;1250;Hubertusstraße in Höhe von Haus-Nr. 24;141166; 20,00 € 
03.01.2014;1251;Hubertusstraße in Höhe von Haus-Nr. 20;141166; 20,00 € 
03.01.2014;1253;Hubertusstraße in Höhe von Haus-Nr. 20;141166; 20,00 € 
03.01.2014;1257;Hubertusstraße ggü. Haus-Nr. 3;141166; 20,00 € 
03.01.2014;1259;Hubertusstraße, Ecke Hülsdonker Staße;141166; 20,00 € 
03.01.2014;1312;Meerstraße / B ggü. Haus-Nr. 5;113121; 15,00 € 
03.01.2014;1321;Meerstraße / B, Innenhof;113140; 10,00 € 
03.01.2014;1323;Meerstraße / B, Innenhof;113120; 10,00 € 
03.01.2014;1326;Meerstraße / B, Innenhof;113140; 10,00 € 
03.01.2014;1327;Meerstraße / B, Innenhof;113120; 10,00 € 
03.01.2014;1325;Nordring / C2 in Höhe von Haus-Nr. 1;141166; 20,00 € 
03.01.2014;1331;Rheinberger Straße ggü. Haus-Nr. 29;113300; 10,00 € 
03.01.2014;1339;Baerler Straße in Höhe von Haus-Nr. 10;113240; 10,00 € 
03.01.2014;1342;Seminarstraße ggü. Haus-Nr. 41;113240; 10,00 € 
03.01.2014;1357;Feldstraße / C1 in Höhe von Haus-Nr. 46;113240; 10,00 € 
03.01.2014;1401;Feldstraße / C1 in Höhe von Haus-Nr. 23a;141118; 15,00 € 
03.01.2014;1409;Essenberger Straße / C1, Parkplatz;113140; 10,00 € 
03.01.2014;1430;Homberger Straße / C1 in Höhe von Haus-Nr. 93;113280; 10,00 € 
03.01.2014;1442;Otto-Hue-Straße / C1, Pakplatz;113140; 10,00 € 
03.01.2014;1444;Otto-Hue-Straße / C1, Pakplatz;113120; 10,00 € 
03.01.2014;1447;Otto-Hue-Straße / C1, Pakplatz;113140; 10,00 € 
03.01.2014;1458;Weygoldstraße / C1 ggü. Haus-Nr. 3;113140; 10,00 € 
03.01.2014;1517;Wilhelm-Schroeder-Straße / C2, Pakplatz;113140; 10,00 € 
03.01.2014;1524;Dr.-Hermann-Bähr-Straße sc, Ecke Oberwallstr.;141382; 15,00 € 
03.01.2014;1527;Oberwallstraße / B ggü. Haus-Nr. 4;141352; 15,00 € 
03.01.2014;1634;Neumarkt / A, Parkplatz;113141; 15,00 € 
03.01.2014;1632;Neumarkt / A, Parkplatz;113141; 15,00 € 
03.01.2014;1547;Nordring / C2, Parkplatz;113140; 10,00 € 
03.01.2014;1549;Nordring / C2, Parkplatz;113121; 15,00 € 
03.01.2014;1552;Nordring / C2, Parkplatz;113121; 15,00 € 
03.01.2014;1555;Nordring / C2, Parkplatz;113122; 20,00 € 
03.01.2014;959;Gartenstraße ggü. Haus-Nr. 36;113240; 10,00 € 
03.01.2014;1004;Im Ohl in Höhe von Haus-Nr. 3;141312; 15,00 € 
03.01.2014;1008;Diergardtstraße ggü. Haus-Nr. 16;113240; 10,00 € 
03.01.2014;1011;Diergardtstraße in Höhe von Haus-Nr. 16;113240; 10,00 € 
03.01.2014;948;Filder Straße in Höhe von Haus-Nr. 4;113240; 10,00 € 
03.01.2014;950;Filder Straße in Höhe von Haus-Nr. 8;113240; 15,00 € 
03.01.2014;952;Filder Straße in Höhe von Haus-Nr. 14;113240; 10,00 € 
03.01.2014;932;Unterwallstraße in Höhe von Haus-Nr. 9;142262; 10,00 € 
03.01.2014;949;Kautzstraße / B, Parkplatz;112402; 20,00 € 
03.01.2014;951;Kautzstraße / B ggü. Haus-Nr. 10;141312; 15,00 € 
03.01.2014;1555;Kautzstraße / B, Parkplatz;113144; 30,00 € 
03.01.2014;1535;Neumarkt / A, Parkplatz;113140; -   € 
03.01.2014;1456;Weygoldstraße / C1 ggü. Haus-Nr. 5;113140; 15,00 € 
03.01.2014;1723;Drinhausstraße ggü. Haus-Nr. 22;112042; 15,00 € 
03.01.2014;1230;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
03.01.2014;1306;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1307;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1309;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1314;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1318;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1321;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1323;Mühlenstraße / DE, Parkplatz;113300; 10,00 € 
03.01.2014;1330;Mühlenstraße / DE, Schotterparkplatz;113140; 10,00 € 
03.01.2014;1333;Mühlenstraße / DE, Schotterparkplatz;113140; 10,00 € 
03.01.2014;1335;Mühlenstraße / DE, Schotterparkplatz;113140; 10,00 € 
03.01.2014;1342;Mühlenstraße / DE, Schotterparkplatz;113140; 10,00 € 
03.01.2014;1345;Mühlenstraße / DE, Schotterparkplatz;113140; 10,00 € 
03.01.2014;1350;Mühlenstraße / DE, Schotterparkplatz;113150; 10,00 € 
03.01.2014;1355;Mühlenstraße / DE, Schotterparkplatz;113150; 10,00 € 
03.01.2014;1357;Mühlenstraße / DE, Schotterparkplatz;113150; 10,00 € 
03.01.2014;1359;Nordring / C2, Parkplatz;113120; 10,00 € 
03.01.2014;1409;Nordring / C2, Parkplatz;113140; 10,00 € 
03.01.2014;1414;Repelener Straße, Parkplatz;113283; 35,00 € 
03.01.2014;1418;Hülsdonker Straße 3;141342; 15,00 € 
03.01.2014;1435;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1437;Meerstraße / B, Schotterplatz;113122; 20,00 € 
03.01.2014;1442;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1444;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1447;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1450;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1455;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1458;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1501;Meerstraße / B, Schotterplatz;113140; 10,00 € 
03.01.2014;1516;Meerstraße / B, Parkplatz;113122; 20,00 € 
03.01.2014;1529;Haagstraße / B 11;113180; 10,00 € 
03.01.2014;1532;Haagstraße / B 7;113180; 10,00 € 
03.01.2014;1540;Kautzstraße / B 5;141312; 15,00 € 
03.01.2014;1545;Kautzstraße / B, Parkplatz;142278; 35,00 € 
03.01.2014;1548;Kautzstraße / B, Parkplatz;113120; 10,00 € 
03.01.2014;1550;Kautzstraße / B, Parkplatz;113120; 10,00 € 
03.01.2014;1552;Kautzstraße / B, Parkplatz;113124; 30,00 € 
03.01.2014;1558;Kautzstraße / B ggü. Haus-Nr. 10;141312; 15,00 € 
03.01.2014;1614;Oberwallstraße / B 4;113140; 10,00 € 
03.01.2014;1619;Kirchstraße 12;141106; 30,00 € 
03.01.2014;1624;Neumarkt / A, Parkplatz;113120; 10,00 € 
03.01.2014;1628;Neumarkt / A, Parkplatz;113120; 10,00 € 
03.01.2014;1630;Neumarkt / A, Parkplatz;113121; 15,00 € 
03.01.2014;1635;Neumarkt / A, Parkplatz;113140; 10,00 € 
03.01.2014;1638;Neumarkt / A, Parkplatz;113120; 10,00 € 
03.01.2014;1709;Parsickstraße 39;141412; 10,00 € 
03.01.2014;1718;Drinhausstraße ggü. Haus-Nr. 13;112042; 15,00 € 
03.01.2014;1729;Drinhausstraße 19;112042; 30,00 € 
03.01.2014;1731;Drinhausstraße 10a;329119; 25,00 € 
03.01.2014;1738;Bahnhofstraße 19;112402; 20,00 € 
03.01.2014;1743;Bahnhofstraße 28;112042; 15,00 € 
03.01.2014;1747;Bahnhofstraße 57;142273; 30,00 € 
03.01.2014;1758;Robinienweg, Ecke buchenweg;142103; 10,00 € 
03.01.2014;1805;Buchenweg neben Haus-Nr. 47, Laterne Garten;142103; 10,00 € 
03.01.2014;1828;Diergardtstraße 8;141412; 10,00 € 
03.01.2014;1838;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
03.01.2014;1840;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
03.01.2014;1842;Pferdsweide ggü. Haus-Nr. 30, Zeichen 1052-37;141312; 15,00 € 
03.01.2014;1948;Rheinberger Straße 70;112402; 20,00 € 
03.01.2014;1218;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
03.01.2014;1225;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
04.01.2014;2227;Pfefferstraße 2;141106; 30,00 € 
04.01.2014;2230;Pfefferstraße 4;141106; 30,00 € 
04.01.2014;1015;Bankstraße / C1 in Höhe von Haus-Nr. 10;113140; 10,00 € 
04.01.2014;1025;Otto-Hue-Straße / C1 in Höhe von Haus-Nr. 4;113140; 10,00 € 
04.01.2014;1027;Otto-Hue-Straße / C1 ggü. Haus-Nr. 2;113140; 10,00 € 
04.01.2014;1039;Homberger Straße / C1 in Höhe von Haus-Nr. 90;113180; 10,00 € 
04.01.2014;1045;Homberger Straße / C1, Schräg vor 68;113140; 10,00 € 
04.01.2014;1047;Essenberger Straße / C1, Parkplatz;113140; 10,00 € 
04.01.2014;1049;Essenberger Straße / C1, Parkplatz;113140; 10,00 € 
04.01.2014;1050;Essenberger Straße / C1, Parkplatz;113140; 15,00 € 
04.01.2014;1053;Augustastraße / C1 in Höhe von Haus-Nr. 6;113140; 10,00 € 
04.01.2014;1100;Hopfenstraße in Höhe von Haus-Nr. 22;329113; 15,00 € 
04.01.2014;1104;Kautzstraße / B, Ecke Hopfenstrasse;141312; 15,00 € 
04.01.2014;1110;Kautzstraße / B, Parkplatz;113140; 10,00 € 
04.01.2014;1111;Kautzstraße / B, Parkplatz;113120; 10,00 € 
04.01.2014;1112;Kautzstraße / B, Parkplatz;113140; 10,00 € 
04.01.2014;1114;Kautzstraße / B, Parkplatz;113120; 10,00 € 
04.01.2014;1118;Hanns-Albeck-Platz ggü. Haus-Nr. 1;113300; 10,00 € 
04.01.2014;1121;Haagstraße / B in Höhe von Haus-Nr. 3;113140; 10,00 € 
04.01.2014;1124;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
04.01.2014;1126;Hanckwitzstraße / B, Parkplatz;113120; 10,00 € 
04.01.2014;1127;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
04.01.2014;1130;Kastell / B, Ecke Hanckwitz;113140; 10,00 € 
04.01.2014;1138;Meerstraße / B ggü. Haus-Nr. 3;113121; 15,00 € 
04.01.2014;1147;Meerstraße / B, Schotterplatz;113140; 10,00 € 
04.01.2014;1150;Meerstraße / B, Schotterplatz;113140; 10,00 € 
04.01.2014;1153;Meerstraße / B, Schotterplatz;113140; 10,00 € 
04.01.2014;1155;Meerstraße / B, Schotterplatz;113140; 10,00 € 
04.01.2014;1157;Meerstraße / B, Schotterplatz;113140; 10,00 € 
04.01.2014;1159;Meerstraße / B, Schotterplatz;113120; 10,00 € 
04.01.2014;1200;Meerstraße / B, Schotterplatz;113140; 10,00 € 
04.01.2014;1202;Meerstraße / B in Höhe von Haus-Nr. 2;113121; 15,00 € 
04.01.2014;1205;Meerstraße / B, Innenhof;113140; 10,00 € 
04.01.2014;1210;Neumarkt / A, Parkplatz;113140; 10,00 € 
04.01.2014;1212;Neumarkt / A, Parkplatz;113140; 10,00 € 
04.01.2014;1212;Neumarkt / A, Parkplatz;113140; 10,00 € 
04.01.2014;1214;Neumarkt / A, Parkplatz;113140; 10,00 € 
04.01.2014;1217;Neumarkt / A, Parkplatz;113120; 10,00 € 
04.01.2014;1219;Neumarkt / A, Parkplatz;113140; 10,00 € 
04.01.2014;1231;Unterwallstraße in Höhe von Haus-Nr. 9;113300; 10,00 € 
04.01.2014;923;Meerstraße / B ggü. Haus-Nr. 5;113140; 10,00 € 
04.01.2014;930;Oberwallstraße / B ggü. Haus-Nr. 21;141322; 15,00 € 
04.01.2014;932;Oberwallstraße / B ggü. Haus-Nr. 15;113140; 10,00 € 
04.01.2014;937;Nordring / C2 in Höhe von Haus-Nr. 1;141166; 20,00 € 
04.01.2014;938;Nordring / C2 in Höhe von Haus-Nr. 1;141166; 20,00 € 
04.01.2014;942;Rheinberger Straße ggü. Haus-Nr. 13;113320; 10,00 € 
04.01.2014;944;Rheinberger Straße ggü. Haus-Nr. 21;113300; 10,00 € 
04.01.2014;956;Gellertstraße ggü. Haus-Nr. 27;113240; 10,00 € 
04.01.2014;957;Gellertstraße ggü. Haus-Nr. 27;113240; 10,00 € 
04.01.2014;959;Landwehrstraße / C1 in Höhe von Haus-Nr. 44;113240; 10,00 € 
04.01.2014;1000;Landwehrstraße / C1 in Höhe von Haus-Nr. 42;113240; 10,00 € 
